R;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
P;Sommer;Inter;34;6,12;5,63;0;19;1;0;0;0;0;1;0;0
P;Szczesny;Juventus;35;6,21;5,43;0;30;1;0;0;0;0;1;0;0
P;Svilar;Roma;15;6,47;5,37;0;19;1;0;0;0;0;1;0;0
P;Di Gregorio;Monza;33;6,35;5,47;0;35;2;0;0;0;0;0;0;0
P;Skorupski;Bologna;32;6,17;5,33;0;29;1;0;0;0;0;2;0;0
P;Terracciano;Fiorentina;33;6,27;5,26;0;35;1;0;0;0;0;3;0;0
P;Carnesecchi;Atalanta;27;6,19;5,3;0;30;2;0;0;0;0;0;0;0
P;Milinkovic-Savic V.;Torino;36;6,12;5,24;0;31;0;0;0;0;0;2;0;0
P;Caprile;Empoli;23;6,26;5,22;0;27;1;0;0;0;0;0;0;0
P;Meret;Napoli;31;6,06;4,97;0;40;2;0;0;0;0;0;0;0
P;Montipo';Verona;37;6,31;4,99;0;49;0;0;0;0;0;0;0;0
P;Falcone;Lecce;38;6,25;4,91;0;54;1;0;0;0;0;0;0;0
P;Provedel;Lazio;30;6,23;5,13;0;33;0;0;0;0;0;0;0;0
P;Martinez Jo.;Genoa;36;6,14;4,97;0;43;1;0;0;0;0;2;1;0
P;Okoye;Udinese;21;6,17;4,93;0;25;0;0;0;0;0;2;0;0
P;Mandas;Lazio;8;6,25;5,5;0;6;0;0;0;0;0;0;0;0
P;Maignan;Milan;29;6,05;4,86;0;34;0;0;0;0;1;1;1;0
P;Ravaglia F.;Bologna;6;6,33;6,33;0;3;1;0;0;0;0;0;0;0
P;Consigli;Sassuolo;35;6,14;4,27;0;68;1;0;0;0;0;1;0;0
P;Scuffet;Cagliari;31;6,13;4,31;0;55;0;0;0;0;0;3;0;0
P;Rui Patricio;Roma;23;5,98;4,78;0;27;0;0;0;0;0;1;0;0
P;Turati;Frosinone;31;6,19;4,42;0;58;1;0;0;0;0;0;0;0
P;Sportiello;Milan;7;6,14;4,57;0;11;0;0;0;0;0;0;0;0
P;Audero;Inter;4;6;5,25;0;3;0;0;0;0;0;0;0;0
P;Musso;Atalanta;11;6,14;5,05;0;12;0;0;0;0;0;0;0;0
P;Perin;Juventus;3;6;5,67;0;1;0;0;0;0;0;0;0;0
P;Cerofolini;Frosinone;8;5,94;4,25;0;11;0;0;0;0;0;1;0;1
P;Ochoa;Salernitana;21;6,31;4,21;0;44;0;0;0;0;0;0;0;0
P;Berisha;Empoli;14;6,11;4,54;0;25;1;0;0;0;0;0;0;0
P;Perilli;Verona;1;7,5;5,5;0;2;0;0;0;0;0;0;0;0
P;Di Gennaro;Inter;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
P;Pinsoglio;Juventus;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
P;Rossi F.;Atalanta;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
P;Leali;Genoa;2;6,5;5,25;0;2;0;0;0;0;0;1;0;0
P;Gollini;Napoli;7;6;4,86;0;8;0;0;0;0;0;0;0;0
P;Aresti;Cagliari;1;6;5;0;1;0;0;0;0;0;0;0;0
P;Fiorillo;Salernitana;4;6;3,88;0;8;0;0;0;0;0;1;0;0
P;Cragno;Sassuolo;3;6;3,67;0;7;0;0;0;0;0;0;0;0
P;Silvestri;Udinese;17;5,82;4,18;0;28;0;0;0;0;0;0;0;0
P;Sorrentino A.;Monza;7;6;3,71;0;16;0;0;0;0;0;0;0;0
P;Radunovic;Cagliari;7;5,71;4;0;12;0;0;0;0;0;0;0;0
P;Mirante;Milan;2;6,25;4,75;0;3;0;0;0;0;0;0;0;0
P;Sepe;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Lamanna;Monza;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Sommariva;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Pegolo;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Padelli;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Perisan;Empoli;1;5;3;0;2;0;0;0;0;0;0;0;0
P;Costil;Salernitana;13;6,19;3,96;0;29;0;0;0;0;0;0;0;0
