R;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
P;Meret;Napoli;34;6,18;5,56;0;24;1;0;0;0;0;0;0;0
P;Provedel;Lazio;38;6,26;5,46;0;30;0;0;0;0;0;1;0;0
P;Maignan;Milan;22;6,16;5,34;0;21;1;0;0;0;0;0;0;0
P;Vicario;Empoli;31;6,4;5,19;0;39;1;0;0;0;0;3;0;0
P;Szczesny;Juventus;28;6,11;5,18;0;26;0;0;0;0;0;0;0;0
P;Skorupski;Bologna;37;6,19;4,97;0;49;2;0;0;0;0;4;0;0
P;Falcone;Lecce;38;6,25;5,09;0;46;1;0;0;0;0;2;0;0
P;Silvestri;Udinese;38;6,24;4,97;0;48;0;0;0;0;0;0;0;0
P;Rui Patricio;Roma;35;6;5,07;0;35;1;0;0;0;0;1;0;0
P;Di Gregorio;Monza;37;6,28;4,99;0;49;0;0;0;0;1;0;0;0
P;Milinkovic-Savic V.;Torino;38;6,03;4,89;0;41;0;0;0;0;0;4;0;0
P;Onana;Inter;24;6,15;5,04;0;24;0;0;0;0;0;1;0;1
P;Sportiello;Atalanta;15;6,13;4,73;0;21;0;0;0;0;0;0;0;0
P;Dragowski;Spezia;34;6,26;4,78;0;54;1;0;0;0;1;1;0;0
P;Terracciano;Fiorentina;29;6;4,78;0;38;1;0;0;0;0;1;0;0
P;Carnesecchi;Cremonese;27;6,35;4,63;0;47;0;0;0;0;1;1;0;0
P;Montipo';Verona;37;6,19;4,66;0;59;1;0;0;0;0;1;0;0
P;Ochoa;Salernitana;20;6,48;4,95;0;33;1;0;0;0;0;1;0;0
P;Perin;Juventus;11;6,41;6,05;0;7;1;0;0;0;0;0;0;0
P;Cerofolini;Fiorentina;5;6,1;5,5;0;3;0;0;0;0;0;0;0;0
P;Musso;Atalanta;23;6,13;4,85;0;27;0;0;0;0;0;1;0;1
P;Sepe;Salernitana;17;6,29;5,15;0;27;3;0;0;0;0;3;0;0
P;Handanovic;Inter;14;6,11;4,82;0;18;0;0;0;0;0;0;0;0
