R;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
P;Maignan;Milan;32;6,27;5,62;0;21;0;0;0;0;1;1;0;0
P;Szczesny;Juventus;33;6,12;5,48;0;29;3;0;0;0;0;2;0;0
P;Ospina;Napoli;31;6,26;5,44;0;25;0;0;0;0;0;1;0;0
P;Handanovic;Inter;37;6,16;5,34;0;30;0;0;0;0;0;1;0;0
P;Berisha;Torino;10;6,1;5,55;0;8;1;0;0;0;0;1;0;0
P;Rui Patricio;Roma;38;6,17;5,09;0;43;1;0;0;0;0;2;0;0
P;Skorupski;Bologna;36;6,24;4,79;0;53;1;0;0;0;0;4;0;0
P;Strakosha;Lazio;23;6,04;4,74;0;29;0;0;0;0;0;2;0;0
P;Musso;Atalanta;33;6,11;4,79;0;42;0;0;0;0;0;1;1;0
P;Vicario;Empoli;38;6,42;4,72;0;70;2;0;0;0;0;1;0;0
P;Consigli;Sassuolo;37;6,27;4,62;0;63;1;0;0;0;0;2;0;0
P;Audero;Sampdoria;29;6,12;4,53;0;48;1;0;0;0;0;2;0;0
P;Milinkovic-Savic V.;Torino;27;6,02;4,85;0;33;1;0;0;0;0;3;0;0
P;Silvestri;Udinese;35;6,17;4,73;0;50;0;0;0;0;0;1;0;0
P;Terracciano;Fiorentina;32;5,97;4,72;0;43;1;0;0;0;0;0;0;0
P;Montipo';Verona;34;6,09;4,69;0;50;1;0;0;0;0;1;0;0
P;Cragno;Cagliari;35;6,24;4,57;0;63;2;0;0;0;0;3;0;0
P;Sirigu;Genoa;37;6,2;4,64;0;59;1;0;0;0;0;0;0;1
P;Sepe;Salernitana;16;6,22;4,66;0;24;0;0;0;0;0;2;0;0
P;Provedel;Spezia;31;6,26;4,48;0;52;0;0;0;0;0;2;0;1
P;Maenpaa;Venezia;17;6,03;4,47;0;27;0;0;0;0;1;1;0;0
P;Reina;Lazio;15;5,97;4;0;29;0;0;0;0;1;3;0;0
P;Meret;Napoli;7;5,86;5;0;6;0;0;0;0;0;0;0;0
P;Falcone;Sampdoria;10;6,45;4,95;0;14;0;0;0;0;0;2;0;0
P;Sportiello;Atalanta;5;6,3;5,3;0;5;0;0;0;0;0;0;0;0
P;Belec;Salernitana;23;6,09;4,07;0;49;1;0;0;0;0;1;0;0
P;Bardi;Bologna;2;6,25;5,25;0;2;0;0;0;0;0;0;0;0
P;Padelli;Udinese;3;6,17;3,5;0;8;0;0;0;0;0;0;0;0
P;Dragowski;Fiorentina;7;6,14;5,29;0;8;1;0;0;0;0;0;1;0
P;Pinsoglio;Juventus;1;6,5;5,5;0;1;0;0;0;0;0;0;0;0
P;Semper;Genoa;1;6,5;5,5;0;1;0;0;0;0;0;0;0;0
P;Zovko;Spezia;1;6;6;0;0;0;0;0;0;0;0;0;0
P;Radunovic;Cagliari;3;6,33;5,67;0;5;1;0;0;0;0;0;0;0
P;Perin;Juventus;5;6,1;4,7;0;7;0;0;0;0;0;0;0;0
P;Zoet;Spezia;7;5,79;3,5;0;19;1;0;0;0;0;0;0;0
P;Mirante;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Sarr M.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Lezzerini;Venezia;6;6,17;4,5;0;9;0;0;0;0;0;2;0;0
P;Tatarusanu;Milan;6;6;4,83;0;10;1;0;0;0;0;0;0;0
P;Ujkani;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Marchetti;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Brignoli;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Pegolo;Sassuolo;1;6;3;0;3;0;0;0;0;0;0;0;0
P;Scuffet;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Radu I.;Inter;1;4;2;0;2;0;0;0;0;0;0;0;0
P;Cordaz;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Aresti;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Fiorillo;Salernitana;1;6;1;0;5;0;0;0;0;0;0;0;0
P;Plizzari;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Satalino;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Santurro;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Rossi F.;Atalanta;1;6;5;0;1;0;0;0;0;0;0;0;0
P;Romero S.;Venezia;16;6;3,88;0;33;0;0;0;0;0;2;0;0
P;Fuzato;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Rosati;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Contini;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Andrenacci;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Berardi A.;Verona;1;6,5;3,5;0;3;0;0;0;0;0;0;0;0
P;Gemello;Torino;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
P;Turati;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Ravaglia;Sampdoria;1;6;5;0;1;0;0;0;0;0;0;0;0
P;Krapikas;Spezia;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Pandur;Verona;3;6,17;4,17;0;6;0;0;0;0;0;0;0;0
P;Boer;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Alia;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Gasparini;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Furlan;Empoli;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Adamonis;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Marfella;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Bertinato;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Molla;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Russo;Salernitana;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Piana;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Neri;Venezia;0;0;0;0;0;0;0;0;0;0;0;0;0
D;Hernandez T.;Milan;32;6,3;6,69;5;0;0;2;1;1;5;5;2;0
D;Cuadrado;Juventus;32;6,3;6,62;4;0;0;0;0;0;3;9;0;0
D;Bremer;Torino;33;6,39;6,59;3;0;0;0;0;0;1;7;0;0
D;Dumfries;Inter;32;6,22;6,77;5;0;0;0;0;0;4;3;0;0
D;Koulibaly;Napoli;27;6,48;6,72;3;0;0;0;0;0;1;5;1;0
D;Rrahmani;Napoli;33;6,27;6,56;4;0;0;0;0;0;0;5;0;0
D;Faraoni;Verona;32;6,08;6,48;4;0;0;0;0;0;5;6;1;0
D;Skriniar;Inter;35;6,21;6,43;3;0;0;0;0;0;0;3;0;0
D;Molina N.;Udinese;35;6,04;6,6;7;0;0;0;0;0;2;5;1;0
D;Bonucci;Juventus;23;6,15;6,78;5;0;0;3;3;0;0;1;0;0
D;Calabria;Milan;26;6,15;6,42;2;0;0;0;0;0;2;2;0;0
D;Romero;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
D;Singo;Torino;35;6,17;6,44;3;0;0;0;0;0;4;5;1;0
D;Di Lorenzo;Napoli;33;6,2;6,36;1;0;0;0;0;0;4;3;0;0
D;Smalling;Roma;25;6,18;6,46;3;0;0;0;0;0;0;0;0;1
D;De Ligt;Juventus;31;6,19;6,45;3;0;0;0;0;0;1;2;1;0
D;Kalulu;Milan;24;6,33;6,46;1;0;0;0;0;0;2;4;0;0
D;Udogie;Udinese;34;6;6,47;5;0;0;0;0;0;3;4;0;0
D;D'ambrosio;Inter;15;6,23;6,47;1;0;0;0;0;0;1;2;0;0
D;Zappacosta;Atalanta;31;6,08;6,24;1;0;0;0;0;0;5;6;0;0
D;Criscito;Genoa;20;5,98;6,68;6;0;0;7;6;1;1;4;0;0
D;De Silvestri;Bologna;31;5,94;6,18;3;0;0;0;0;0;2;7;0;0
D;Acerbi;Lazio;29;5,95;6,31;4;0;0;0;0;0;0;1;1;0
D;Bastoni;Inter;31;6,21;6,31;1;0;0;0;0;0;2;4;0;0
D;Gosens;Inter;11;6,14;6,36;1;0;0;0;0;0;1;3;0;0
D;Tomori;Milan;31;6,29;6,23;0;0;0;0;0;0;0;4;0;0
D;Mari';Udinese;15;6,27;6,57;2;0;0;0;0;0;0;1;1;0
D;Bastoni S.;Spezia;29;6,12;6,41;3;0;0;0;0;0;3;5;1;0
D;Mario Rui;Napoli;34;6,03;6,07;0;0;0;0;0;0;5;7;0;0
D;Biraghi;Fiorentina;37;5,96;6,11;4;0;0;2;1;1;1;3;1;1
D;Dimarco;Inter;25;6,12;6,34;2;0;0;1;0;1;3;1;0;0
D;Palomino;Atalanta;33;6,14;6,09;1;0;0;0;0;0;0;9;0;0
D;Lazzari;Lazio;27;5,91;6,3;3;0;0;0;0;0;3;3;0;0
D;Darmian;Inter;23;6,13;6,35;2;0;0;0;0;0;1;4;0;0
D;Karsdorp;Roma;35;6,07;6;0;0;0;0;0;0;2;7;1;0
D;Rodrigo Becao;Udinese;35;6,04;6,1;2;0;0;0;0;0;1;10;0;0
D;Vojvoda;Torino;29;6,02;6,07;0;0;0;0;0;0;3;3;0;0
D;Hickey;Bologna;36;5,83;6,18;5;0;0;0;0;0;1;7;0;0
D;Theate;Bologna;30;5,92;6,05;2;0;0;0;0;0;1;6;0;0
D;Radovanovic;Salernitana;13;5,88;5,96;1;0;0;0;0;0;0;4;0;0
D;De Sciglio;Juventus;16;6,06;6,25;1;0;0;0;0;0;2;2;1;0
D;Florenzi;Milan;20;6,12;6,4;2;0;0;0;0;0;0;2;0;0
D;Danilo;Juventus;21;6,14;6,24;1;0;0;0;0;0;2;6;0;0
D;Ibanez;Roma;32;5,84;6;3;0;0;0;0;0;0;9;0;0
D;Tomiyasu;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
D;Erlic;Spezia;30;5,95;6,07;2;0;0;0;0;0;0;5;0;0
D;Scalvini;Atalanta;14;5,96;6,14;1;0;0;0;0;0;0;1;0;0
D;Ansaldi;Torino;15;6,13;6,27;0;0;0;0;0;0;3;2;0;0
D;Lirola;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
D;Nuytinck;Udinese;26;6;6,12;1;0;0;0;0;0;1;2;0;0
D;Demiral;Atalanta;25;6,08;6,12;1;0;0;0;0;0;2;8;0;0
D;Augello;Sampdoria;34;5,81;5,93;1;0;0;0;0;0;1;0;0;0
D;Ceccaroni;Venezia;35;5,8;5,87;2;0;0;0;0;0;1;7;1;0
D;Vasquez;Genoa;28;5,89;5,88;1;0;0;0;0;0;0;7;0;0
D;Cambiaso;Genoa;25;5,94;6,12;1;0;0;0;0;0;4;3;1;0
D;Chiellini;Juventus;19;6,18;6,13;0;0;0;0;0;0;0;2;0;0
D;De Vrij;Inter;28;5,8;5,68;0;0;0;0;0;0;0;3;0;1
D;Caldara;Venezia;30;5,87;5,82;1;0;0;0;0;0;0;9;0;0
D;Ceccherini;Verona;34;5,88;5,79;1;0;0;0;0;0;0;10;1;0
D;Fazio;Salernitana;16;5,69;5,78;1;0;0;0;0;0;0;1;1;0
D;Milenkovic;Fiorentina;34;5,87;5,81;1;0;0;0;0;0;0;8;1;0
D;Rodriguez R.;Torino;32;5,86;5,84;0;0;0;0;0;0;1;3;0;0
D;Mancini;Roma;33;5,88;5,64;0;0;0;0;0;0;0;14;1;0
D;Pezzella Ger.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
D;Colley;Sampdoria;31;5,97;5,85;0;0;0;0;0;0;0;5;1;0
D;Kyriakopoulos;Sassuolo;25;5,88;5,92;0;0;0;0;0;0;5;6;1;0
D;Bellanova;Cagliari;31;5,82;5,9;1;0;0;0;0;0;1;3;0;0
D;Lovato;Cagliari;21;5,98;5,86;0;0;0;0;0;0;0;5;0;0
D;Altare;Cagliari;19;5,97;6;1;0;0;0;0;0;0;5;0;0
D;Parisi;Empoli;23;5,91;5,85;0;0;0;0;0;0;1;5;0;0
D;Mazzocchi;Salernitana;32;5,84;5,83;0;0;0;0;0;0;2;5;0;0
D;Haps;Venezia;25;5,84;5,88;1;0;0;0;0;0;1;6;0;0
D;Ferrari A.;Sampdoria;22;5,7;5,75;1;0;0;0;0;0;0;4;0;0
D;Romagnoli S.;Empoli;18;5,89;6,03;2;0;0;0;0;0;0;3;0;1
D;Toloi;Atalanta;19;6;6,05;1;0;0;0;0;0;1;6;0;0
D;Djimsiti;Atalanta;29;5,86;5,84;1;0;0;0;0;0;1;6;0;1
