R;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
P;Alisson;Roma;37;6,36;5,76;0;28;2;0;0;0;0;1;0;0
P;Handanovic;Inter;38;6,29;5,45;0;30;0;0;0;0;0;0;0;1
P;Sirigu;Torino;37;6,36;5,36;0;45;3;0;0;0;0;2;0;0
P;Donnarumma G.;Milan;38;6,09;4,91;0;42;0;0;0;0;0;2;0;1
P;Reina;Napoli;37;6,08;5,28;0;29;0;0;0;0;0;1;0;0
P;Sorrentino;Chievo;38;6,29;4,95;0;59;3;0;0;0;0;2;0;0
P;Sportiello;Fiorentina;37;6,08;5,11;0;38;1;0;0;0;0;0;1;0
P;Perin;Genoa;37;6,27;5,12;0;42;0;0;0;0;0;1;0;0
P;Buffon;Juventus;21;6,1;5,55;0;14;1;0;0;0;0;1;0;0
P;Berisha;Atalanta;31;6,13;5,13;0;34;1;0;0;0;0;0;0;0
P;Consigli;Sassuolo;37;6,24;4,73;0;58;1;0;0;0;0;2;0;0
P;Strakosha;Lazio;38;6,28;5,04;0;49;1;0;0;0;0;2;0;0
P;Cordaz;Crotone;38;6,14;4,46;0;66;1;0;0;0;0;2;0;0
P;Cragno;Cagliari;29;6,21;4,79;0;47;2;0;0;0;0;0;0;0
P;Mirante;Bologna;33;6,2;4,67;0;46;0;0;0;0;0;5;0;1
P;Viviano;Sampdoria;27;6,15;4,89;0;43;4;0;0;0;0;2;0;1
P;Meret;SPAL;13;6,5;5,73;0;16;2;0;0;0;0;0;0;0
P;Bizzarri;Udinese;32;6,06;4,59;0;52;2;0;0;0;0;0;1;0
P;Nicolas;Verona;36;6,04;4,18;0;71;2;0;0;0;0;2;1;0
P;Szczesny;Juventus;17;6,06;5,53;0;9;0;0;0;0;0;0;0;0
P;Puggioni;Benevento;23;6,07;4,37;0;38;0;0;0;0;0;0;1;0
P;Gomis A.;SPAL;25;6,12;4,52;0;43;1;0;0;0;0;0;0;0
P;Gollini;Atalanta;7;6,07;5,5;0;4;0;0;0;0;0;0;0;0
P;Rafael;Cagliari;10;6,1;4,95;0;11;0;0;0;0;0;1;0;0
P;Da Costa;Bologna;4;6,38;5,12;0;5;0;0;0;0;0;0;0;0
P;Skorupski;Roma;1;6,5;6,5;0;0;0;0;0;0;0;0;0;0
P;Lamanna;Genoa;1;6,5;5,5;0;1;0;0;0;0;0;0;0;0
P;Scuffet;Udinese;6;5,67;4,33;0;11;1;0;0;0;0;0;0;0
P;Pinsoglio;Juventus;1;6;5;0;1;0;0;0;0;0;0;0;0
P;Milinkovic-Savic V.;Torino;1;6;5;0;1;0;0;0;0;0;0;0;0
P;Rossi F.;Atalanta;1;5,5;4,5;0;1;0;0;0;0;0;0;0;0
P;Radunovic;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Seculin;Chievo;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Sepe;Napoli;1;6;6;0;0;0;0;0;0;0;0;0;0
P;Donnarumma An.;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Berni;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Guerrieri;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Marchetti;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Gabriel;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Rafael Cabral;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Lobont;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Brignoli;Benevento;13;5,88;3,62;1;31;0;0;0;0;0;3;0;0
P;Pegolo;Sassuolo;2;5,5;4;0;1;0;0;0;0;0;0;0;1
P;Pomini;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Ichazo;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Padelli;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Karnezis;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Coppola;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Belec;Sampdoria;15;5,8;3,57;0;32;0;0;0;0;0;1;1;0
P;Marson;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Storari;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Festa;Crotone;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Dragowski;Fiorentina;3;5,5;2,83;0;8;0;0;0;0;0;0;0;0
P;Zima L.;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Vargic;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Tozzo;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Satalino;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Crosta;Cagliari;1;4,5;1,5;0;3;0;0;0;0;0;0;0;0
P;Silvestri;Verona;2;6,5;3;0;7;0;0;0;0;0;0;0;0
P;Santurro;Bologna;1;6,5;5;0;1;0;0;0;0;0;1;0;0
P;Viscovo;Crotone;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Marchegiani;SPAL;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Poluzzi;SPAL;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Zaccagno;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Cotticelli;Benevento;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Cerofolini;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Confente;Chievo;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Piscitelli;Benevento;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Borsellini;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
D;De Vrij;Lazio;36;6,25;6,74;6;0;0;0;0;0;1;3;0;0
D;Kolarov;Roma;35;6,29;6,61;2;0;0;0;0;0;7;3;0;0
D;Koulibaly;Napoli;35;6,3;6,63;5;0;0;0;0;0;0;5;1;0
D;Masiello;Atalanta;31;6,26;6,56;4;0;0;0;0;0;0;5;0;0
D;Skriniar;Inter;38;6,28;6,51;4;0;0;0;0;0;0;2;0;1
D;Albiol;Napoli;31;6,24;6,45;3;0;0;0;0;0;1;7;0;0
