R;Rm;Nome;Squadra;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
P;Por;Sommer;Inter;6,12;5,63;0;19;1;0;0;0;0;1;0;0
P;Por;Szczesny;Juventus;6,21;5,43;0;30;1;0;0;0;0;1;0;0
P;Por;Svilar;Roma;6,47;5,37;0;19;1;0;0;0;0;1;0;0
P;Por;Di Gregorio;Monza;6,35;5,47;0;35;2;0;0;0;0;0;0;0
P;Por;Skorupski;Bologna;6,17;5,33;0;29;1;0;0;0;0;2;0;0
P;Por;Terracciano;Fiorentina;6,27;5,26;0;35;1;0;0;0;0;3;0;0
P;Por;Carnesecchi;Atalanta;6,19;5,3;0;30;2;0;0;0;0;0;0;0
P;Por;Milinkovic-Savic V.;Torino;6,12;5,24;0;31;0;0;0;0;0;2;0;0
P;Por;Caprile;Empoli;6,26;5,22;0;27;1;0;0;0;0;0;0;0
P;Por;Meret;Napoli;6,06;4,97;0;40;2;0;0;0;0;0;0;0
P;Por;Montipo';Verona;6,31;4,99;0;49;0;0;0;0;0;0;0;0
P;Por;Falcone;Lecce;6,25;4,91;0;54;1;0;0;0;0;0;0;0
P;Por;Provedel;Lazio;6,23;5,13;0;33;0;0;0;0;0;0;0;0
P;Por;Martinez Jo.;Genoa;6,14;4,97;0;43;1;0;0;0;0;2;1;0
P;Por;Okoye;Udinese;6,17;4,93;0;25;0;0;0;0;0;2;0;0
P;Por;Mandas;Lazio;6,25;5,5;0;6;0;0;0;0;0;0;0;0
P;Por;Maignan;Milan;6,05;4,86;0;34;0;0;0;0;1;1;1;0
P;Por;Ravaglia F.;Bologna;6,33;6,33;0;3;1;0;0;0;0;0;0;0
P;Por;Consigli;Sassuolo;6,14;4,27;0;68;1;0;0;0;0;1;0;0
P;Por;Scuffet;Cagliari;6,13;4,31;0;55;0;0;0;0;0;3;0;0
P;Por;Rui Patricio;Roma;5,98;4,78;0;27;0;0;0;0;0;1;0;0
P;Por;Turati;Frosinone;6,19;4,42;0;58;1;0;0;0;0;0;0;0
P;Por;Sportiello;Milan;6,14;4,57;0;11;0;0;0;0;0;0;0;0
P;Por;Audero;Inter;6;5,25;0;3;0;0;0;0;0;0;0;0
P;Por;Musso;Atalanta;6,14;5,05;0;12;0;0;0;0;0;0;0;0
P;Por;Perin;Juventus;6;5,67;0;1;0;0;0;0;0;0;0;0
P;Por;Cerofolini;Frosinone;5,94;4,25;0;11;0;0;0;0;0;1;0;1
P;Por;Ochoa;Salernitana;6,31;4,21;0;44;0;0;0;0;0;0;0;0
