R;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
P;Donnarumma G.;Milan;36;6,26;5,39;0;42;4;0;0;0;0;3;0;0
P;Handanovic;Inter;35;6,16;5,3;0;32;1;0;0;0;0;2;0;0
P;Strakosha;Lazio;38;6,21;5,16;0;42;1;0;0;0;0;2;0;0
P;Musso;Udinese;38;6,28;5,08;0;51;2;0;0;0;0;1;0;0
P;Szczesny;Juventus;29;6,19;5,14;0;33;1;0;0;0;0;1;0;0
P;Sepe;Parma;34;6,26;4,96;0;53;3;0;0;0;0;1;0;0
P;Gollini;Atalanta;33;6,15;4,83;0;42;0;0;0;0;0;3;0;0
P;Cragno;Cagliari;16;6,47;5,31;0;21;1;0;0;0;0;1;0;0
P;Silvestri;Verona;35;6,2;4,94;0;43;0;0;0;0;0;2;0;0
P;Dragowski;Fiorentina;31;6,21;5;0;43;2;0;0;0;0;1;0;0
P;Pau Lopez;Roma;32;6,08;4,72;0;45;1;0;0;0;0;3;0;0
P;Sirigu;Torino;36;6,43;4,68;0;64;1;0;0;0;0;4;0;0
P;Ospina;Napoli;17;6,09;5,09;0;17;0;0;0;0;0;0;0;0
P;Olsen;Cagliari;17;6,41;4,94;0;24;0;0;0;0;0;0;1;0
P;Consigli;Sassuolo;31;6,11;4,42;0;55;1;0;0;0;0;1;0;0
P;Skorupski;Bologna;37;5,99;4,31;0;64;1;0;0;0;0;2;0;0
P;Meret;Napoli;22;6,16;4,8;0;33;1;0;0;0;0;0;0;0
P;Audero;Sampdoria;36;6,03;4,29;0;60;0;0;0;0;0;1;0;1
P;Terracciano;Fiorentina;7;6,36;5,64;0;5;0;0;0;0;0;0;0;0
P;Perin;Genoa;21;6,12;4,29;0;38;0;0;0;0;0;1;0;0
P;Berisha;SPAL;26;6,31;4,6;0;44;0;0;0;0;0;1;0;0
P;Gabriel;Lecce;34;6,24;4,06;0;76;2;0;0;0;0;4;0;1
P;Joronen;Brescia;29;6,29;4,34;0;59;1;0;0;0;0;1;0;0
P;Sportiello;Atalanta;6;6,17;5,33;0;5;0;0;0;0;0;0;0;0
P;Mirante;Roma;5;6,5;5,5;0;5;0;0;0;0;0;0;0;0
P;Buffon;Juventus;9;6,11;5;0;10;0;0;0;0;0;0;0;0
P;Pegolo;Sassuolo;5;6,7;5,9;0;4;0;0;0;0;0;0;0;0
P;Pinsoglio;Juventus;1;6;6;0;0;0;0;0;0;0;0;0;0
P;Andrenacci;Brescia;6;6;3,33;0;16;0;0;0;0;0;0;0;0
P;Radunovic;Verona;3;5,83;3;0;8;0;0;0;0;0;1;0;0
P;Da Costa;Bologna;1;6;5;0;1;0;0;0;0;0;0;0;0
P;Sarr M.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Seculin;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Donnarumma An.;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Ujkani;Torino;1;6,5;3,5;0;3;0;0;0;0;0;0;0;0
P;Berni;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Guerrieri;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Marchetti;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Rafael Cabral;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Reina;Milan;1;6,5;8,5;0;1;1;0;0;0;0;0;0;0
P;Colombi;Parma;4;6,25;5,25;0;4;0;0;0;0;0;0;0;0
P;Gomis A.;SPAL;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Ichazo;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Padelli;Inter;3;5,33;4;0;4;0;0;0;0;0;0;0;0
P;Karnezis;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Scuffet;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Rafael;Cagliari;6;6,08;4,25;0;11;0;0;0;0;0;0;0;0
P;Alastra;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Perisan;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Radu I.;Parma;17;6,03;4;0;35;0;0;0;0;1;1;0;0
P;Aresti;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Plizzari;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Cucchietti;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Satalino;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Falcone;Sampdoria;2;6;3,25;0;5;0;0;0;0;0;1;0;0
P;Zaccagno;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Nicolas;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Cerofolini;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Rossi F.;Atalanta;1;6;5;0;1;0;0;0;0;0;0;0;0
P;Vodisek;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Proto;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Fuzato;Roma;1;6;5;0;1;0;0;0;0;0;0;0;0
P;Rosati;Torino;1;5,5;4,5;0;1;0;0;0;0;0;0;0;0
P;Vigorito;Lecce;5;5,9;4;0;9;0;0;0;0;0;1;0;0
P;Jandrei;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Brancolini;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Borghetto;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Alfonso;Brescia;3;5,83;4,5;0;4;0;0;0;0;0;0;0;0
P;Bleve;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Milli;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Thiam D.;SPAL;2;6;4;0;4;0;0;0;0;0;0;0;0
P;Berardi A.;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Russo A.;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Letica;SPAL;10;5,7;3,05;0;29;1;0;0;0;0;1;0;0
P;Avogadri;Sampdoria;0;0;0;0;0;0;0;0;0;0;0;0;0
P;Gemello;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
